以下是重排後的段落式逐字稿：。[807.88-811.88] 10%的一個成本價差轉換不可能。[811.88-812.88] 所以這個時候來講。[812.88-814.88] 實際上為什麼被看到。[814.88-816.88] 很重要一點就是這個產業。[816.88-819.88] 今天從上游到下游來講。

[819.88-821.88] 大家都透透明明看到。[821.88-824.88] 大家也很清楚這個產業未來的發展。[824.88-827.88] 大家也看到今天這個產業。[827.88-829.88] 在這方面來講。[829.88-833.88] 真的不能說以成本來去考量而已。[833.88-835.88] 所以今天他在考量。

[835.88-837.88] 今天在機械加工廠有太多太多家。[837.88-839.88] 台灣大陸一大堆。[839.88-841.88] 一大堆工廠。[841.88-843.88] 但是重點是說。[843.88-845.88] 有沒有一家工廠有航太認證。[845.88-846.88] 有汽車認證。

[846.88-848.88] 有工業產品認證。[848.88-851.88] 有沒有國際大廠的認證。[851.88-853.88] 並不很多。[853.88-855.88] 為什麼這些東西那麼重要。[855.88-856.88] 而是說。[856.88-859.88] 因為你要經過這層層層層的過濾。

[859.88-860.88] 層層層的考驗。[860.88-862.88] 你來活下來。[862.88-864.88] 就代表你在品質上面。[864.88-867.88] 不是這老闆用嘴巴講。[867.88-870.88] 而是在品質日常作業就有這個東西。[870.88-872.88] 所以實說為什麼在這幾。

[872.88-874.88] 這一兩年大家都在談到這件東西。[874.88-876.88] 不是我們在刻意放消息。[876.88-878.88] 而是從邏輯端來去看。[878.88-880.88] 你是客人你會選誰。[880.88-882.88] 你是客人你會選誰。[882.88-884.88] 這邊我跟大家講一下。

[884.88-885.88] 那相對的話。[885.88-886.88] 在汽車產業來講。[886.88-888.88] 我們早期做汽車安全充電器。[888.88-891.88] 做汽車安全的一個零件。[891.88-894.88] 同時我們那時候從國外的單子。[894.88-897.88] 經過台灣轉到大陸去。

[897.88-898.88] 在2008年的時候。[898.88-900.88] 我們就動出極限。[900.88-904.88] 因為我們覺得靠單一的產業風險太大。[904.88-906.88] 雖然在汽車安全技能。[906.88-909.88] 我們有一些所謂護身符。[909.88-912.88] 這個三層擋三層牌子。

[912.88-914.88] 因為我們那時候跟一般產品不一樣。[914.88-919.88] 我們搭配中鋼一起合作開發了清淨鋼。[919.88-920.88] 到目前為止。[920.88-923.88] 這個清淨鋼這個材料還是實說同有。[923.88-924.88] 也因為這樣的關係。[924.88-926.88] 我們可以在這個市場上面。

[926.88-929.88] 可以擋住很多很多的競爭者。[929.88-933.88] 但是今天汽車安全技能來講的話。[933.88-935.88] 它也在變化它也要求生存。[935.88-936.88] 所以它也做出改變。[936.88-938.88] 做了很多沖壓的東西。[938.88-942.88] 這就是為什麼我們在2021年投資做沖壓。

[942.88-944.88] 因為我們看到這個東西。[944.88-946.88] 它在市場趨勢有在變化。[946.88-947.88] 相對的來講。[947.88-949.88] 我們在2008年的時候。[949.88-952.88] 就在中國大陸的無奇。[952.88-956.88] 我們打造新的團隊。

[956.88-958.88] 專門有一群人拉出來。[958.88-960.88] 跟日常工作完全切割。[960.88-962.88] 打造新的團隊。[962.88-966.88] 這新的團隊在專注汽車產業大的發展。[966.88-968.88] 所以這個東西大的發展。[968.88-970.88] 剛開始在2012年的時候。

[970.88-973.88] 整個從國外的車子很多轉到大陸來。[973.88-975.88] 叫自主化自動化的東西。[975.88-977.88] 還有當地化的東西。[977.88-980.88] 再加上COVID的時候之前。[980.88-983.88] 大陸2021年大陸來講。[983.88-985.88] 就由油轉電。

[985.88-987.88] 哇雨後春水。[987.88-989.88] 實際上跟一般公司不太一樣的地方。[989.88-992.88] 就是我們用了很多在地化。[992.88-994.88] 所以也因為有在地化。[994.88-996.88] 大概沒有辦法想像到。[996.88-998.88] 中國大陸整個的車子。

[998.88-1002.88] 今年最新的狀況是差不多3200萬輛。[1003.88-1006.88] 其中的750萬輛外銷。[1006.88-1008.88] 2500萬內銷。[1008.88-1010.88] 2500萬內銷來講。[1010.88-1012.88] 比亞地就佔了很大的氛圍。[1012.88-1015.88] 那相對還有很多很多廠商。

[1015.88-1017.88] 其實中國大陸現在有將近100多家。[1017.88-1019.88] 做電動車。[1019.88-1021.88] 但遲早會慢慢淘汰掉。[1021.88-1022.88] 但實說來講。[1022.88-1024.88] 如果沒有當地的一個資源。[1024.88-1026.88] 沒有當地的承諾。

[1026.88-1027.88] 我們絕對會掛掉。[1027.88-1029.88] 但是我們今天來講。[1029.88-1030.88] 就在這一系列東西。[1030.88-1031.88] 你可以看一下。[1031.88-1033.88] 我們一項一項的一樣。[1033.88-1034.88] 我們把分開了。

[1034.88-1035.88] 分開來的時候。[1035.88-1037.88] 我們在做什麼事情。[1037.88-1038.88] 我們在做什麼事情。[1038.88-1041.88] 你也能來那個圖打給我看。[1041.88-1042.88] 後面好。[1042.88-1044.88] 沒關係我等一下再跟大家講。

[1044.88-1046.88] 所以我們現在來講。[1046.88-1047.88] 同事告訴我。[1047.88-1051.88] 汽車上面底盤上面都沒有東西了。[1051.88-1053.88] 你們大概第一次聽我這樣講這句話。[1053.88-1055.88] 也很少聽到經業界講這句話。[1055.88-1057.88] 如果在Compass引進的話。

[1057.88-1059.88] 底盤上面有很多東西。[1059.88-1060.88] 對不起。[1060.88-1061.88] 今天在電動車的一個。[1061.88-1063.88] 越來越趨勢越來越發展的時候。[1063.88-1066.88] 底盤上面上面沒有東西了。[1066.88-1067.88] 只有在底盤下面。

[1067.88-1070.88] 再加上中國大陸的話。[1070.88-1072.88] 大家都在競爭。[1072.88-1074.88] 今天金融大陸。[1074.88-1078.88] 汽車在大陸的氛圍來講。[1078.88-1081.88] 可能電動車跟產業來講。[1081.88-1083.88] 傳統的一個油電來講。

[1083.88-1085.88] 可能氛圍。[1085.88-1088.88] 電動車可能氛圍要到50幾。[1088.88-1091.88] 而且持續在增加。[1091.88-1092.88] 所以電動車的。[1092.88-1094.88] 這樣的一個氛圍來講。[1094.88-1095.88] 可能在。

[1095.88-1097.88] 因為大家都在比價錢。[1097.88-1099.88] 但是同時在比功能。[1099.88-1102.88] 有些在高端產業的功能。[1102.88-1104.88] 慢慢都移到電動車。[1104.88-1106.88] 甚至在底盤上面。[1106.88-1107.88] 這就是我們在。

[1107.88-1109.88] 我為什麼可以這樣講。[1109.88-1110.88] 這就是石碩跟一般公司。[1110.88-1111.88] 不太一樣的地方。[1111.88-1113.88] 石碩在工程上。[1113.88-1115.88] 我們這邊還有所謂發動機。[1115.88-1117.88] 發動機叫汽車。

[1117.88-1118.88] 叫航太。[1118.88-1120.88] 航太也是一個很好的歷史。[1120.88-1121.88] 今天2020。[1121.88-1122.88] 今天來講。[1122.88-1124.88] 航太大家都知道門檻很高。[1124.88-1126.88] 但是大家也知道。

[1126.88-1128.88] 燒錢燒的很多。[1128.88-1131.88] 你要從頭到尾找到一個。[1131.88-1133.88] 全方位的供應鏈。[1133.88-1135.88] 那是不可能的事情。[1135.88-1138.88] 現在大家在2020年過來以後。[1138.88-1140.88] 疫情解封的時候。

[1140.88-1142.88] 大家都聽到全球供應鏈。[1142.88-1144.88] 奔奔離析。[1144.88-1146.88] 所以很多客戶在在意的是什麼。[1146.88-1149.88] 我們找到一家能全方位供服務。[1149.88-1150.88] 這就是為什麼。[1151.88-1153.88] 2021年石碩在2020年的時候。

[1153.88-1155.88] 大膽的投資天涯。[1155.88-1157.88] 接下來我會跟大家進一步的報告。[1157.88-1159.88] 這菜館。[1159.88-1161.88] 菜館我還是回到。[1161.88-1164.88] 我們在談到幾個兩個重要的觀點。[1164.88-1166.88] 重量觀點。

[1166.88-1167.88] 當然再加上前面那個東西。[1167.88-1169.88] 我們三支組件。[1169.88-1171.88] 兩個重要的觀點。[1171.88-1173.88] 第一個組件就是汽車。[1173.88-1175.88] 油電。[1175.88-1176.88] 整個混合的東西。

[1176.88-1178.88] 第二是工業產品。[1178.88-1179.88] 多元的。[1179.88-1181.88] 多元的包括汽車。[1181.88-1183.88] 包括工業的伺服器。[1183.88-1184.88] AI伺服器。[1184.88-1188.88] 包括什麼所謂的將來的robot。

[1188.88-1189.88] 這些東西。[1189.88-1192.88] 還有到石化小輪車都是搭配的東西。[1192.88-1195.88] 包括航太的東西。[1195.88-1197.88] 因為這三支件。
