以下是重排後的段落式逐字稿：。[473.12-475.68] 這個隨著疫情後下午都不去庫存。[475.68-476.72] 你終端需求的這個。[476.76-477.52] 自然增長。[477.52-478.80] 自信手套需求。[478.80-480.08] 這邊會變正常。

[480.08-482.64] 所以2024年的合理收入17億元。[482.64-483.68] 毛利是。[483.68-485.98] 1.4億元毛利率8.7%。[485.98-487.52] 那營業淨利是。[487.52-489.04] -6000萬。[489.04-491.60] 營業營利率是-4%。

[491.60-493.14] 業外收入是1.6億。[493.14-495.70] 所以這個歸屬的公司的稅後淨利是。[495.70-496.48] 新台幣。[496.48-498.00] 1億元。[498.00-498.78] OK那。[498.78-501.34] 中共在2024年完成ISO的。

[501.34-503.90] 14064的溫室性盤差。[503.90-506.20] 除了類別一類別二以外呢。[506.20-510.04] 市外也開始進行了類別三類別四的盤查。[510.04-513.12] 並且經過第三棒查證通過。[513.12-515.16] 在營能源改善方面。[515.16-516.44] 除了鍋爐之外。

[516.44-518.74] 就不再使用鍋爐的保養之外。[518.74-520.02] 就不再使用重瓷。[520.02-522.08] 都是使用外購的蒸氣。[522.08-523.60] 來提升燃燃食物的效率。[523.60-525.40] 比較低碳排。[525.40-527.44] 那除了依據這個ISO。

[527.44-529.24] 4501的這個落實。[529.24-530.78] 職業安全衛生管理外。[530.78-531.80] 在這個。[531.80-534.36] 2024年來拿到老公部職能署。[534.36-535.64] 國家安全績效獎。[535.64-536.16] 中小企業。

[536.16-537.44] 的特命價。[537.44-539.48] 那這對我們是全體。[539.48-542.30] 對我們集團是一個很大的肯定。[542.30-543.84] OK那明年呢。[543.84-545.88] 我們最主要還是會致力於生產。[545.88-547.16] 降低對環境。

[547.16-549.22] 下的這個產品。[549.22-550.76] 然後再一次。[550.76-553.32] 第二部分就是我們要進行。[553.32-555.10] 製程的這個改善。[555.10-556.64] 導入這個A1。[556.64-558.94] 然後來進行減少的設備。

[558.94-560.74] 那目前生風是有跟。[560.74-563.04] 加弗內茲明大學進行一些。[563.04-564.58] 備案的合作企劃。[564.58-566.12] 那希望可以提高這個。[566.12-569.20] 維持高級的產品進行生產效率。[569.20-570.98] 也能夠改善。

[570.98-572.52] 那我們最近三年來的。[572.52-574.56] 研發費用在周比重。[574.56-575.60] 就不止1%。[575.60-576.88] 甚至2%。[576.88-579.18] 那大家也可以看到我們2024年。[579.18-580.72] 雲收市比2023年。

[580.72-582.24] 有大幅的成長。[582.24-584.30] 那我們應該備用給大幅的成長。[584.30-585.58] 最主要就是。[585.58-586.86] 為了要這個。[586.86-588.40] 來多元化我們的產品。[588.40-590.96] 以及我們的這個研發專案。

[590.96-593.00] 所以還有我們的綠色製程。[593.00-596.08] 所以我們大幅的投資研發相關的這個。[596.12-598.94] 備用這樣子。[598.94-601.76] 好。[601.76-610.20] 那不知各位同志先進有什麼問題想要。[610.20-613.28] 請問大家有其他問題嗎。

[613.28-617.88] 那如果今天沒有其他問題的話我們今天謝謝財務長的說明。[617.88-620.70] 謝謝大家參加那我們今天法事會到這裡結束。[620.70-622.48] 好謝謝各位同志先進參與。[626.12-627.14] 謝謝大家。
