[0.00-20.44] 各位贵宾早安
[20.44-22.12] 今天非常欢迎所有贵宾
[22.12-24.56] 逆龄指导元大证券第一季投资论坛
[24.56-28.18] 今天论坛我们特别邀请到经济成长的特助
[28.18-29.44] 来为我们讲解
[29.44-30.90] 让我们热烈掌声欢迎
[30.90-41.56] 各位投资新晋大家早安
[41.56-44.98] 因为在场投资人有些是很了解公司的
[44.98-47.98] 有些可能是听过一两次
[47.98-52.18] 我们前面一样会先简单做一些公司介绍
[52.18-57.50] 熟悉的人在前面的部分就可以稍微放过一下
[57.50-59.42] 我们刚好昨天
[59.42-62.84] 公司开了我们Q量的一个董事会
[62.84-65.88] 有通过去年第四季的一个财报数
[65.88-70.26] 所以后面后半段我们会针对近期的一些财务数字
[70.26-74.42] 还有就是近期的展望跟各位投资先进做一个简单说明
[75.48-81.84] 过往很多公司很多投资人来我们公司的时候
[81.84-83.18] 做公司拜访
[83.18-85.16] 常想问的第一个问题就是说
[85.16-87.38] 就现在市场的应用环境
[87.38-89.18] 很多都是在谈AI AI
[89.42-91.60] 或者是我们讲的高速运算
[91.60-93.84] 他们最想关心的第一个问题就是说
[93.84-98.30] 这个机会这个市场机会跟这个趋势的发展
[98.30-101.72] 对于公司到底有哪些的机会
[101.72-104.84] 还有就是产品是有连结的
[104.84-109.72] 我们可以看到在这种AI概念下或者是高速运算下面
[109.72-116.72] 其实它会带动整个我们讲的一个智能生态网的一个快速发展
[116.72-119.38] 包含它有很多的一个重点应用机会
[119.42-121.42] 然后我们可以看到我们的一个技术
[121.42-123.42] 那这边我们稍微广告一下
[123.42-129.42] 就是我们台湾经纪目前其实是已经在台湾第一跟全球第一大的一个平均软件厂商
[129.42-134.42] 那我们过往投了很多的一个RDUresource跟CapEx
[134.42-137.42] 是在这种先进技术的一个开发
[137.42-139.42] 每年每年大家看我们的财报
[139.42-142.42] 我们大概都有8到10%的一个营业费用
[142.42-146.42] 是花在这些技术发展跟专案的一个开发
[146.42-149.42] 那后面我们会提到相关的一个技术跟产品
[149.42-151.42] 我们的产品为什么要投这么多资源
[151.42-157.42] 是因为现在很多的通讯它要求快速高速跟同步跟低延迟
[157.42-163.42] 那它隐含的就是说在任何的一个传输资料的节点上面
[163.42-168.42] 我们可以看到客人要的是更干净更稳定的一个讯号
[168.42-172.42] 那我们的频率元件它就是提供这样子的一个关键功能
[172.42-176.42] 它可以让5G甚至现在5G advanced的一个世代
[176.42-179.42] 可以让我们的一个讯号传递变多
[179.42-180.42] 变得更美好
[180.42-184.42] 那这边我们就是提供更精准的一个频率元件
[184.42-187.42] 就是业界有些是称实卖元件
[187.42-190.42] 那很多的方案后面我们会再提到
[190.42-192.42] 那这些除了精准之外
[192.42-195.42] 还有就是很直觉的小型化跟高频
[195.42-198.42] 因为device要放的东西越来越多
[198.42-203.42] 所以小型化在我们这个产品还是一个必然的一个趋势
[205.42-207.42] 那我们目前在公司整个策略方面
[207.42-209.42] 我们是聚焦三大目标
[209.42-212.42] 那这三大面向也很好去记
[212.42-215.42] 因为我们通常是用三个A来去做形容
[215.42-219.42] 包含中间开始作为发展的AI powered
[219.42-221.42] 它主要就是讲说在现在很多的
[221.42-225.42] 不论是终端的装置或者是Data center等等
[225.42-229.42] 都会有所谓这种AI的一个软体跟功能植入
