[0.00-6.48] 各位投资先进大家午安
[6.48-10.98] 那欢迎大家参加今天统一正确的第二季投资论坛
[10.98-16.00] 那这一场很高兴邀请到新日新来和我们进行现场的会议交流
[16.00-21.20] 那我们今日列临现场的长官是我们的左上环和副总
[21.20-22.72] 以及我们的IR廖真立
[22.72-25.62] 那稍后会议程将分为两个部分
[25.62-29.56] 第一部分会先由Edis为我们分析公司的营运状况
[29.56-31.82] 那接下来再进行QA交流
[31.82-33.86] 那把时间交给公司谢谢
[33.86-37.28] 好那各位投资先进下午好
[37.28-43.22] 我先跟各位报告一下我们的这个公司简介的部分
[43.22-45.82] 那基本上这个是EQ的资料
[45.82-49.64] 那相信大家都已经有看过一些相关的性格资讯了
[49.64-52.56] 所以我大概就一些重点范围
[52.56-54.32] 大概跟各位做报告
[54.32-58.76] 那我们直接看到的是在那个纯
[58.76-59.32] 呃
[59.32-59.54] 现场的投资的方向
[59.54-62.24] 那在经济流量跟存益的部分来讲的话呢
[62.24-66.66] 基本上呃我们在24年的时候做嗯
[66.66-69.16] 现增跟那个CB的部分
[69.16-73.70] 那我们是因应一些呃厂房自动化的设备
[73.70-79.78] 所以呢在这一块来讲的话有呃有一些呃设备的一些投资
[79.78-84.78] 所以呢我们来看一下在毛利的部分
[84.78-88.10] 那基本上EQ来讲的话呢
[88.10-89.30] 嗯毛利
[89.30-91.02] 我们EQ的毛利
[91.02-93.22] 天地的原因就是因为呢
[93.22-96.14] 就是EQ是我们传统的淡季嘛
[96.14-99.92] 那再来就是说有一些开发性的一些成本的支出
[99.92-105.02] 所以呢影响到我们的EQ的毛利的部分
[105.02-108.98] 呃那所以但是在营业费用的部分来讲的话呢
[108.98-113.86] 呃我们会努力维持在一定的百分比
[113.86-116.22] 呃因为最早是每一季的产品
[116.22-118.30] 我们会做一些相关性的开发
[118.30-122.42] 所以我们在每个季度来讲的话呢
[122.42-125.30] 他会因应当时的开发的需求
[125.30-126.46] 而在费用部分呢
[126.46-128.06] 有会会有一些波动
[128.06-132.80] 但是我们都会努力维持在一定的比重上面
[132.80-140.14] 好所以各位可以看到我们直接看到的就是说呃累计到5月份的营收比重的部分
[140.14-146.60] 好那大家可以看到像NBH的部分累计到5月份是24%
[146.60-150.56] 然后再来LCDMT是13
[150.56-153.16] 那3C HIDGE是7
[153.16-155.84] 然后VALUABLE是52
[155.84-158.12] 那MIM的部分是1
[158.12-160.94] 剩下OTHER的部分是3
[160.94-163.50] 那我在这边报告一下就是呢
[163.50-166.48] NB的部分相较于AE
[166.48-173.24] 确实在出货的这个出货量确实有比较提升
[173.24-175.62] 那因为去年来讲的话呢
[175.62-176.58] 本来AE那个出货量是比较高的
[176.60-178.82] 这个NB的需求应该是有所提升
[178.82-183.10] 但是因为相关性的因素而未如预期
[183.10-184.76] 那今年来讲的话呢
[184.76-188.12] 从我们的这个相关性的营收比重来讲
[188.12-190.70] 大家会发现NB确实有成长
[190.70-193.22] 可是我们之前有跟各位分享
[193.22-199.16] 就说如果NB的出货营收占比提升会有助于我们的毛利率提升
[199.16-201.74] 但是为什么截至目前还没有明显呢
[201.74-204.44] 最早是因为EQ是传统单季
[204.44-206.58] 所以这时候的NB基本上都出旧款
[206.60-210.26] 所以这个价格当然会有减少
[210.26-211.98] 被可能COPED DOWN的因素嘛
[211.98-215.42] 然后所以毛利也没有如一开始新品来的好
[215.42-217.60] 所以在EQ来讲的话呢
[217.60-219.62] 虽然是说出货有提升
[219.62-221.52] 可是因为都是出旧款
[221.52-224.76] 所以毛利的贡献度确实比较偏弱一点
[224.76-229.82] 那再来就是其他的产品来讲的话
[229.82-232.92] 比如说3C HINGE或者是WAVE HINGE
[232.92-234.64] 这两块因为去年
[234.64-236.58] 主要的新品都发售了
[236.60-238.52] 所以累积到目前来讲的话
[238.52-240.44] 应该就是一般的被货量
[240.44-242.74] 所以跟各位稍微报告一下
[242.74-246.84] 这是相关性的获利能力
[246.84-251.20] 那我们直接看到的就是在ESG的部分
[251.20-253.50] 那特别要跟各位报告一下
[253.50-255.04] 在ESG来讲的话呢
[255.04-258.88] 我们公司这一块确实有非常的努力在执行
[258.88-262.96] 这个净排净零排放的部分
[262.96-265.78] 那我们内部来讲的话呢
[265.78-266.56] 也是
[266.60-270.18] 也针对一些相关性的这个净零排放
[270.18-272.48] 我们有做一些提案
[272.48-274.80] 从上面的数字大家可以看到
[274.80-277.36] 就是说我们内部累积的奖金呢
[277.36-279.66] 确实蛮高的
[279.66-283.24] 然后再来呢就是我们在
[283.24-284.52] 我们在
[284.52-286.56] 25年的时候呢
[286.56-287.84] 就是
[287.84-291.68] 有通过SBTI的这个目标审核
[291.68-294.76] 那另外呢我们在
[294.76-296.56] 我们的北疆厂
[296.60-301.20] 北疆厂我们也达到这个绿建筑的一个标准
[301.20-304.02] 我们北疆厂顺便跟各位报告一下
[304.02-306.58] 就是我们EQ完成建厂嘛
[306.58-309.40] 那EQ呢就进行认证的部分
[309.40-313.76] 这是目前北疆厂的一个进度
[313.76-317.34] 那再来就是其他环境的部分来讲的话呢
[317.34-319.90] 大家可以看到累计投入的成本
[319.90-321.94] 有高达的9亿
[321.94-323.48] 9亿以上将近10亿
[323.48-326.56] 那当然这个在绿建筑部分的占比比较多
[326.60-329.42] 但是大家可以看到在水资源的部分
[329.42-331.98] 我们在这个
[331.98-335.82] 精进制成水毁收率的部分有高达50%
[335.82-341.20] 然后另外在于废水处理效率的部分呢也有达到40%
[341.20-342.98] 然后另外就是呢
[342.98-345.80] 在自动化生产这是我们一个重点
[345.80-349.90] 我们的全产人全产线的自动化生产
[349.90-353.22] 有降低人力的有高达30%
[353.22-355.52] 那再来就是呢
[355.52-356.56] 我们对于
[356.56-358.86] 对于青年培力的计划
[358.86-361.16] 大家可以看到因为我们是制造业
[361.16-363.48] 制造业需要很多技术能力
[363.48-365.78] 可是就目前来讲的话
[365.78-369.62] 人力确实是一个蛮大的一个影响因子
[369.62-371.66] 所以我们有投入
[371.66-373.20] 产学合作
[373.20-376.78] 那受益的学生呢有高达1000人以上
[376.78-379.08] 那另外呢要
[379.08-381.40] 导入的是这个数位学习
[381.40-385.24] 因为常常在制程方面可能会遇到一些问题啊
[385.24-386.52] 了解怎么解决
[386.56-388.36] 这个是一个经验传承
[388.36-392.96] 所以我们投入这个教育信念的经费呢高达了364万
[392.96-398.84] 那这个是我们的一个技术传承的重点
[398.84-401.16] 那当然在那个
[401.16-402.18] 呃
[402.18-406.28] 因为要因应整个永续来讲的话呢其实我们
[406.28-408.06] 呃就是
[408.06-414.20] 比如说在轮廓这个国民健康署的这个健康职场认证还有健康
[414.20-415.48] 促进标章
[415.48-416.52] 因为我们对于
[416.52-417.28] 呃
[417.28-430.08] 呃
[430.08-431.36] 呃
[431.36-432.14] 呃
[432.14-432.40] 呃
[432.40-432.64] 呃
[432.64-433.92] 呃
[433.92-437.76] 呃
[437.76-442.64] 呃
[442.64-442.88] 呃
[442.88-443.02] 呃
[443.02-443.14] 呃
[443.14-443.40] 呃
[443.40-443.66] 呃
[443.66-443.76] 呃
[443.76-443.92] 呃
[443.92-445.44] 呃
[445.44-445.70] 呃
[445.70-445.76] 呃
[445.76-445.84] 呃
[445.84-445.86] 呃
[445.86-445.96] 呃
[445.96-446.10] 呃
[446.10-446.30] 呃
[446.30-446.38] 呃
[446.38-446.48] 呃
[446.48-446.50] 呃
[446.50-450.30] 我们刚刚有提到就是有关于自动化的部分
[450.30-452.64] 那我们的苏州厂
[452.64-458.42] 获得这个当地政府的一个省级智能制造工厂
[458.42-460.16] 这个部分
[460.16-462.78] 然后另外就是说我们在永续报告奖
[462.78-464.38] 我们获得了赢奖
[464.38-467.12] 那这个呢
[467.12-468.68] 另外还有一个就是
[468.68-471.56] 我们有获得台湾董事学会的
[471.56-475.42] 这个2024年外资精选的台湾百强
[475.42-481.48] 那最后就是我们今年整个永续策略
[481.48-485.38] 会第一个在集中这个气候变迁的部分
[485.38-488.46] 那我们的目标值呢
[488.46-491.06] 就是一个10%的目标值
[491.06-495.38] 那再来就是循环经济的部分
[495.38-497.78] 那我们呢
[497.78-500.32] 运用一些新的技术的模组零件
[500.32-502.90] 我们的目标是减碳10%
[502.90-505.36] 那在于永续工业
[505.36-507.36] 我们的目标就是
[507.36-511.36] 10%通用零组件的这个选用呢
[511.36-513.36] 在低碳材料
[513.36-517.36] 因为这个是有助于这个整个环保永续
[517.36-522.36] 那最后我们打造一个多元共荣的这个DI的职场
[522.36-528.36] 那我们有深化这个社区参与社会公益活动
[528.36-531.36] 那我们有像我们有一些静碳的活动
[531.36-532.36] 还有一些自贡的活动
[532.36-533.32] 那我们希望整个社区的活动呢
[533.32-535.32] 可以进行社会公益活动
[535.32-538.32] 那我们希望整个投入在社会公益
[538.32-541.32] 那以上呢是针对我们公司的近况做报告
[541.32-546.32] 那现在进入第二阶段
[546.32-548.32] 那现场的投资先进
[548.32-550.32] 大家如果有任何问题都欢迎提问
[550.32-551.32] 谢谢
[551.32-560.32] 看你比较那个地气
[560.32-561.32] 因为你这样动力真的很烦心
[561.32-562.32] 现在因为你这样动力真的很烦心
[562.32-563.32] 现在你自己这一年
[563.32-564.32] 现在你自己进入这个社会公益活动
[564.32-565.32] 那现在没有任何一个公司
[565.32-566.32] 现在你现在会有任何一个公司
[566.32-567.32] 现在你现在有任何一个公司
[567.32-569.32] 那现在二次又因为这个
[569.32-570.32] 会动了一下
[570.32-573.32] 对于电影进步
[573.32-574.32] 好的
[574.32-576.32] 呃大家也知道我们是以出口导向的公司
[576.32-580.32] 所以呢汇率的波动对我们来讲确实影响比较深远
[580.32-581.32] 那我相信呢
[581.32-583.32] 这个不仅是我们公司啊
[583.32-586.32] 整个全球来讲的话都会有影响
[586.32-588.32] 啊所以呢我们会致力在
[588.32-590.32] 比如说像我们的费用的精简
[590.32-591.32] 那我们将来的公司呢
[591.32-593.88] 让我们降低一些相关性的一个成本
[594.14-595.92] 那我们希望是说呢
[596.18-598.24] 藉由整个制程的优化
[598.48-600.54] 去提升我们整个的良率
[600.80-601.82] 还有效率
[602.08-603.60] 达到一个最佳化
[603.86-607.70] 所以呢我们会尽量去整顿一下
[607.96-609.24] 相关性的一个制程
[609.50-610.78] 提高我们的效率
[611.04-614.10] 坦白讲因为本身的汇率本身
[614.36-616.40] 这个是整个大环境的因素
[616.66-620.24] 所以我们就是因应社会的变化适当的一个调整
[620.50-621.02] 谢谢
[621.32-625.42] 那如果都没有的话我们今天的座谈就到这边告一个段落
