[0.00-5.80] 大家好,非常欢迎参加乔春金属的投资人座谈会
[5.80-8.98] 我是乔春公司代理发言人曹沐静林
[8.98-13.84] 现在由我来为各位做公司的简介
[13.84-19.38] 各位贵宾如果有问题的话都可以在简报过程中或者是结束的时候提问
[19.38-24.52] 乔春是您最值得信赖的伙伴
[24.52-27.14] 然后这句话是我们的使命
[27.14-30.54] 我们承诺透过团队合作的卓越表现
[30.54-33.14] 永续不断的创新整合成长
[33.14-37.78] 我们也会持续努力的成为所有厉害关系人最值得信赖的伙伴
[37.78-41.88] 以下是本次简报的摘要
[41.88-49.00] 乔春是全球厨房会议产业中装饰设备新压助领组件的领导制造商
[49.00-55.88] 乔春服务的领组件及装饰设备市场规模分别达45亿美元以及90亿美元
[56.30-56.82] 乔春
[56.82-61.10] 以国际知名的水龙头品牌客户建立了长期紧密的
[61.10-66.68] 这些客户在北美以及欧洲市场的市占率都有达六成以上
[66.68-69.72] 那因为成本经济效益的关系
[69.72-73.08] 新材质已经成为了主要的替代的材质
[73.08-76.42] 那也是目前这个产业发展的重要的趋势
[76.42-79.44] 那乔春在这个领域具有领导的地位
[79.44-85.04] 那乔春透过对先进自动化设备以及人才的持续投资
[85.04-85.98] 进而促成成为最新的产业发展的重要的趋势
[85.98-88.56] 成为最佳的全方位服务提供者
[88.56-91.68] 乔春的简介
[91.68-98.52] 乔春是全球厨房卫浴产业中装饰设备新压住林组件的领导制造商
[98.52-101.54] 在欧美的市占率超过了五成
[101.54-104.46] 那我们主要的产品应用在水龙头
[104.46-105.56] 林浴系统
[105.56-107.34] 卫浴配件的林配件
[107.34-109.50] 林组件以及组装品
[109.50-113.00] 那我们在2024年的营收是新台币76亿
[113.00-115.96] 那我们全球共有五个产品的产品
[115.98-117.98] 我们有五处营运据点
[117.98-120.58] 内含四处的生产基地
[120.58-125.20] 分别是台湾台中市的营运总部
[125.20-129.42] 我们有设立营运总部生产研发中心
[129.42-133.10] 然后目前的职员大概有800人以上
[133.10-138.06] 那另外在大陆广东省的肇庆市珠海市
[138.06-141.48] 我们有设置了新童制品专业的制造厂
[141.48-145.94] 那两厂加起来的员工人数有达2300人以上
[145.94-147.74] 那另外在美国的密西根州
[147.74-151.82] 有设置一个新童制品的专业制造厂
[151.82-153.62] 还有美国的肯达基州
[153.62-156.18] 我们设置了仓储与配送中心
[156.18-160.28] 那两个地点的职员人数加起来有80人以上
[160.28-164.38] 那我们整个集团的总人数有约3200人以上
[164.38-168.46] 这是我们公司的严格
[168.46-172.30] 那在西元1974年的时候
[172.30-175.90] 在彰化线的鹿港镇顶班坡
[175.94-180.54] 这个地方我们创立了桥村公司
[180.54-185.66] 那我们经历了23年的技术养成以及营运能力的构建
[185.66-187.98] 那我们在1997年
[187.98-193.10] 在大陆的广东省肇庆市成立了中国第一个新童制造厂
[193.10-195.90] 那接下来在西元99年
[195.90-198.22] 我们配合政府的奖励政策
[198.22-200.52] 在台中市成立了营运总部
[200.52-202.82] 然后构建了服务管理功能
[202.82-205.90] 来支持各个营运据点的营运
[205.94-209.78] 然后接下来在01年以及02年的部分
[209.78-214.90] 我们分别在美国的西岸以及东岸成立了仓储配送中心
[214.90-217.72] 然后来就近我们服务我们的客人
[217.72-219.50] 那在2004年
[219.50-225.66] 我们在广东省珠海市成立了中国第二个新童制造厂
[225.66-228.72] 然后
[228.72-231.02] 我们透过了资产收购的方式
[231.02-233.84] 取得了美国客户的两个工厂
[233.84-235.90] 分别是肯达基州的
[235.90-237.18] 新鸦住厂
[237.18-239.48] 还有密西根州的管建厂
[239.48-242.04] 然后2016年在台中市
[242.04-243.84] 设立了生产研发中心
[243.84-246.90] 开始发展了我们智慧制造生产
[246.90-250.74] 然后2020年在台中市成立了主策营运中心
[250.74-256.12] 开始我们水龙头成品的组装
[256.12-258.94] 那接下来是产业的介绍
[258.94-261.24] 那乔春是专注在
[261.24-264.06] 除味装饰设备这个产业
[264.06-265.08] 那
[265.08-267.90] 这个产业有三大产品的族群
[267.90-268.66] 第一个
[268.66-271.22] 第一类的部分是家具橱柜类
[271.22-273.02] 指的是厨房
[273.02-275.32] 以及卫浴里面的橱柜
[275.32-277.62] 那第二个是水管装置
[277.62-279.16] 那它包含了瓷器
[279.16-280.70] 比如说像脸盆
[280.70-284.54] 浴缸还有马桶还有它后面的那些管路排水系统
[284.54-285.82] 那第三个
[285.82-289.40] 第三类的产品族群的话就是装饰设备
[289.40-292.22] 那这个也是我们焦注的服务的项目
[292.22-294.00] 它包含了水龙头
[294.00-295.04] 淋浴系统
[295.08-297.12] 还有温浴配件
[297.12-298.92] 那它的主要的原料
[298.92-300.96] 原料的材质主要是
[300.96-303.52] 锌铜还有塑胶
[303.52-306.60] 那目前我们专注在金属的零件
[306.60-308.64] 也就是锌铜产品
[308.64-312.48] 那以及我们还有做水龙头的成品的组装
[312.48-314.28] 所以这一块是我们主要的
[314.28-318.38] 市场
[318.38-322.98] 那这个就是刚刚讲的三大族群的图片的一个
[322.98-324.00] 那个
[324.00-324.78] 介绍
[325.08-331.22] 那接下来这是我们的主要的一些客户群
[331.22-337.12] 那只要是全球性的品牌或者是地方领导品牌都是我们主要的客户
[337.12-339.42] 北美
[339.42-343.00] 还有欧洲的水龙头市占率大概都超过六成
[343.00-347.60] 那如果以区域别来看的话2024年的营收的占比的话
[347.60-350.42] 北美是占比是76%
[350.42-352.98] 那欧洲的部分是12%
[352.98-354.78] 那亚洲的话是
[354.78-355.80] 11%
[355.80-357.60] 那其他是1%
[357.60-362.98] 那如果以产业营收比重来看的话我们在厨房卫浴这边有91%
[362.98-369.38] 那其他的话是9%的营收
